rowid,category,subcategory,productname,sales,quantity,discount,profit,orderdate,state
3844,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,6.28,2,0,0.0628,Nov-16,Kentucky
9876,Office Supplies,Supplies,Acme Serrated Blade Letter Opener,6.36,2,0,0.0636,Nov-16,Kentucky
3566,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.96,2,0,0.0792,Jun-16,Kentucky
9860,Office Supplies,Fasteners,Bagged Rubber Bands,2.52,2,0,0.1008,Dec-16,California
2376,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67,3,0,0.1134,Dec-16,Washington
8575,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,5.67,3,0,0.1134,Dec-16,Nebraska
8492,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",5.94,3,0,0.1188,Jan-16,Nebraska
3293,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,11.91,3,0,0.1191,Jan-16,California
368,Office Supplies,Supplies,Staple remover,7.36,2,0,0.1472,Dec-16,California
861,Office Supplies,Supplies,Staple remover,7.36,2,0,0.1472,Dec-16,Texas
5493,Office Supplies,Supplies,Staple remover,7.36,2,0,0.1472,Jul-16,Texas
3718,Office Supplies,Supplies,Letter Slitter,5.04,2,0,0.1512,Mar-16,California
7012,Office Supplies,Supplies,Letter Slitter,5.04,2,0,0.1512,Mar-16,Minnesota
8318,Office Supplies,Art,Pencil and Crayon Sharpener,1.752,1,0.2,0.1533,Jun-16,Minnesota
5441,Office Supplies,Art,DIXON Oriole Pencils,2.064,1,0.2,0.1548,Jun-16,Delaware
7357,Office Supplies,Art,Newell 310,1.408,1,0.2,0.1584,Dec-16,Delaware
3118,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,4,0,0.1588,Dec-16,New York
4588,Office Supplies,Fasteners,"Super Bands, 12/Pack",5.58,3,0,0.1674,Jun-16,New York
3214,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",1.504,1,0.2,0.1692,Jun-16,New York
8428,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744,Jun-16,New York
9729,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744,Jun-16,New York
1385,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,9.45,5,0,0.189,Jun-16,New York
3020,Office Supplies,Fasteners,Alliance Rubber Bands,5.04,3,0,0.2016,Jun-16,New York
